,0
131,"Lining: Cotton 100% Shell: Cotton 55%, Linen 45%"
132,Shell: Cotton 100% Lining: Cotton 100%
133,"Viscose 82%, Polyamide 17%, Elastane 1%"
134,Lining: Cotton 100% Shell: Cotton 100%
135,"Cotton 55%, Linen 45%"
136,"Pocket lining: Cotton 100% Shell: Cotton 55%, Linen 45%"
137,Polyester 100%
138,"Viscose 80%, Linen 20%"
139,"Sock: Cotton 60%, Jute 40% Sole: Thermoplastic rubber 100% Upper: Cotton 100% Lining: Cotton 100%"
140,Viscose 100%
141,"Lyocell 78%, Linen 22%"
142,"Lining: Polyester 84%, Elastane 16% Shell: Polyester 82%, Elastane 18%"
143,"Shell: Polyester 92%, Elastane 8% Lining: Polyester 86%, Elastane 14%"
144,"Cotton 99%, Elastane 1%"
145,"Cotton 89%, True Hemp 11%"
146,"Cotton 78%, Polyester 22%"
147,"Polyester 97%, Elastane 3%"
148,Viscose 100%
149,"Lining: Cotton 100% Shell: Cotton 60%, Polyester 40%"
150,Cotton 100%
151,"Pocket lining: Cotton 65%, Polyester 35% Shell: Cotton 100%"
152,"Cotton 95%, Elastane 5%"
153,"Polyester 41%, Viscose 37%, Polyamide 19%, Wool 3%"
154,"Polyester 41%, Viscose 37%, Polyamide 19%, Wool 3%"
155,"Cotton 55%, Linen 45%"
156,Cotton 100%
157,"Lyocell 75%, Polyamide 25%"
158,"Viscose 82%, Polyamide 17%, Elastane 1%"
159,"Cotton 65%, Polyester 30%, Elastane 5%"
160,"Polyester 60%, Polyamide 35%, Wool 5%"
161,"Lining: Polyester 89%, Elastane 11% Polyamide 80%, Elastane 20%"
162,"Cotton 95%, Elastane 5%"
163,"Cotton 98%, Elastane 2%"
164,"Lyocell 75%, Polyamide 25%"
165,Polyester 100%
166,"Polyester 67%, Viscose 28%, Elastane 5%"
167,Cotton 100%
168,"Cotton 94%, Polyester 5%, Elastane 1%"
169,"Cotton 95%, Elastane 5%"
170,"Viscose 80%, Linen 20%"
171,"Cotton 99%, Elastane 1%"
172,Cotton 100%
173,"Polyester 99%, Elastane 1%"
